commit	date	rules	kind	file	line	old	new	count
8bab358	2026-09-20	3.2,3.4	static function	src/devices/cdc/device_cdc.c	42	Cdc_Destroy	cdc_destroy	5
8bab358	2026-09-20	3.2,3.4	static function	src/devices/cdc/device_cdc.c	44	Cdc_End	cdc_end	5
8bab358	2026-09-20	3.2,3.4	static function	src/devices/cdc/device_cdc.c	92	Cdc_EnsureSurface	cdc_ensure_surface	2
8bab358	2026-09-20	3.2,3.4	static function	src/devices/cdc/device_cdc.c	43	Cdc_ExecuteGO	cdc_execute_go	4
8bab358	2026-09-20	3.2,3.4	static function	src/devices/cdc/device_cdc.c	41	Cdc_Ident	cdc_ident	3
8bab358	2026-09-20	3.2,3.4	static function	src/devices/cdc/device_cdc.c	642	Cdc_IotOp	cdc_iot_op	2
8bab358	2026-09-20	3.2,3.4	static function	src/devices/cdc/device_cdc.c	38	Cdc_Read	cdc_read	7
8bab358	2026-09-20	3.2,3.4	static function	src/devices/cdc/device_cdc.c	37	Cdc_Reset	cdc_reset	5
8bab358	2026-09-20	3.2,3.4	static function	src/devices/cdc/device_cdc.c	40	Cdc_Tick	cdc_tick	3
8bab358	2026-09-20	3.2,3.4	static function	src/devices/cdc/device_cdc.c	39	Cdc_Write	cdc_write	7
8bab358	2026-09-20	3.2,3.4	local variable	src/devices/cdc/device_cdc.c	590	allZero	all_zero	3
8bab358	2026-09-20	3.2,3.4	local variable	src/devices/cdc/device_cdc.c	136	fileBytes	file_bytes	4
8bab358	2026-09-20	3.2,3.4	local variable	src/devices/cdc/device_cdc.c	145	fileSectors	file_sectors	2
8bab358	2026-09-20	3.2,3.4	static variable	src/devices/cdc/device_cdc.c	47	g_cdcBackingPath	cdc_backing_path	5
8bab358	2026-09-20	3.2,3.4	static variable	src/devices/cdc/device_cdc.c	48	g_cdcHasBackingPath	cdc_has_backing_path	4
8bab358	2026-09-20	3.2,3.4	local variable	src/devices/cdc/device_cdc.c	98	newWords	new_words	4
8bab358	2026-09-20	3.2,3.4	parameter	src/devices/cdc/device_cdc.c	642	regA	reg_a	8
8bab358	2026-09-20	3.2,3.4	local variable	src/devices/cdc/device_cdc.c	306	wordOff	word_off	11
8bab358	2026-09-20	3.2,3.4	comment reference	tests/test_cdc.c	20	Cdc_AttachBacking	cdc_attach_backing	1
8bab358	2026-09-20	3.2,3.4	comment reference	tests/test_cdc.c	20	Cdc_Destroy	cdc_destroy	1
8bab358	2026-09-20	3.2,3.4	comment reference	tests/test_cdc.c	19	Cdc_End	cdc_end	1
8bab358	2026-09-20	3.2,3.4	comment reference	tests/test_cdc.c	21	Cdc_EnsureSurface	cdc_ensure_surface	2
8bab358	2026-09-20	3.2,3.4	comment reference	tests/test_cdc.c	18	Cdc_ExecuteGO	cdc_execute_go	1
8bab358	2026-09-20	3.2,3.4	comment reference	tests/test_cdc.c	20	Cdc_Ident	cdc_ident	1
8bab358	2026-09-20	3.2,3.4	comment reference	tests/test_cdc.c	17	Cdc_Read	cdc_read	1
8bab358	2026-09-20	3.2,3.4	comment reference	tests/test_cdc.c	17	Cdc_Reset	cdc_reset	1
8bab358	2026-09-20	3.2,3.4	comment reference	tests/test_cdc.c	19	Cdc_Tick	cdc_tick	1
8bab358	2026-09-20	3.2,3.4	comment reference	tests/test_cdc.c	18	Cdc_Write	cdc_write	1
b0845de	2026-09-20	3.4,3.5	local variable	src/debugger/debugger.c	2103	PPN	ppn	5
b0845de	2026-09-20	3.4,3.5	parameter	src/debugger/debugger.c	2094	PTe	p_te	13
b0845de	2026-09-20	3.4,3.5	local variable	src/debugger/debugger.c	4225	byteCount	byte_count	8
b0845de	2026-09-20	3.4,3.5	local variable	src/debugger/debugger.c	4264	bytesRead	bytes_read	7
b0845de	2026-09-20	3.4,3.5	static variable	src/debugger/debugger.c	2097	debugInfo	debug_info	36
b0845de	2026-09-20	3.4,3.5	local variable	src/debugger/debugger.c	2100	memoryRange	memory_range	4
b0845de	2026-09-20	3.4,3.5	local variable	src/debugger/debugger.c	2280	pageTableEntry	page_table_entry	2
b0845de	2026-09-20	3.4,3.5	local variable	src/debugger/debugger.c	2146	ppnStr	ppn_str	4
b0845de	2026-09-20	3.4,3.5	local variable	src/debugger/debugger.c	1689	rP	r_p	4
b0845de	2026-09-20	3.4,3.5	local variable	src/debugger/debugger.c	1690	rPCR	r_pcr	19
b0845de	2026-09-20	3.4,3.5	local variable	src/debugger/debugger.c	5100	runMode	run_mode	4
b0845de	2026-09-20	3.4,3.5	local variable	src/debugger/debugger.c	2244	useAPT	use_apt	2
b0845de	2026-09-20	3.4,3.5	local variable	src/debugger/debugger.c	2997	validSymbol	valid_symbol	8
b0845de	2026-09-20	3.4,3.5	parameter	src/debugger/debugger.c	4540	virtualAddress	virtual_address	11
3506fb8	2026-09-20	3.2,3.4	static function	src/devices/winchester/device_winchester.c	61	WdTransferEnd	wd_transfer_end	6
3506fb8	2026-09-20	3.2,3.4	static function	src/devices/winchester/device_winchester.c	63	WdUnitAttached	wd_unit_attached	5
3506fb8	2026-09-20	3.2,3.4	static function	src/devices/winchester/device_winchester.c	761	Wd_Boot	wd_boot	2
3506fb8	2026-09-20	3.2,3.4	static function	src/devices/winchester/device_winchester.c	155	Wd_ClearErrors	wd_clear_errors	3
3506fb8	2026-09-20	3.2,3.4	static function	src/devices/winchester/device_winchester.c	97	Wd_ClearFlipFlops	wd_clear_flip_flops	7
3506fb8	2026-09-20	3.2,3.4	static function	src/devices/winchester/device_winchester.c	848	Wd_Destroy	wd_destroy	2
3506fb8	2026-09-20	3.2,3.4	static function	src/devices/winchester/device_winchester.c	167	Wd_DeviceClear	wd_device_clear	2
3506fb8	2026-09-20	3.2,3.4	static function	src/devices/winchester/device_winchester.c	62	Wd_ExecuteGO	wd_execute_go	3
3506fb8	2026-09-20	3.2,3.4	static function	src/devices/winchester/device_winchester.c	137	Wd_FinishOperation	wd_finish_operation	11
3506fb8	2026-09-20	3.2,3.4	static function	src/devices/winchester/device_winchester.c	687	Wd_Ident	wd_ident	2
3506fb8	2026-09-20	3.2,3.4	static function	src/devices/winchester/device_winchester.c	65	Wd_OpName	wd_op_name	3
3506fb8	2026-09-20	3.2,3.4	static function	src/devices/winchester/device_winchester.c	221	Wd_Read	wd_read	2
3506fb8	2026-09-20	3.2,3.4	static function	src/devices/winchester/device_winchester.c	184	Wd_ReadStatus	wd_read_status	2
3506fb8	2026-09-20	3.2,3.4	static function	src/devices/winchester/device_winchester.c	60	Wd_Reset	wd_reset	4
3506fb8	2026-09-20	3.2,3.4	static function	src/devices/winchester/device_winchester.c	681	Wd_Tick	wd_tick	2
3506fb8	2026-09-20	3.2,3.4	static function	src/devices/winchester/device_winchester.c	281	Wd_Write	wd_write	2
3506fb8	2026-09-20	3.2,3.4	local variable	src/devices/winchester/device_winchester.c	819	allZero	all_zero	3
3506fb8	2026-09-20	3.2,3.4	local variable	src/devices/winchester/device_winchester.c	567	blockCounter	block_counter	15
3506fb8	2026-09-20	3.2,3.4	local variable	src/devices/winchester/device_winchester.c	617	blocksRead	blocks_read	7
3506fb8	2026-09-20	3.2,3.4	local variable	src/devices/winchester/device_winchester.c	566	coreAddress	core_address	10
3506fb8	2026-09-20	3.2,3.4	local variable	src/devices/winchester/device_winchester.c	116	imageSize	image_size	4
3506fb8	2026-09-20	3.2,3.4	local variable	src/devices/winchester/device_winchester.c	117	isWriteProtected	is_write_protected	3
3506fb8	2026-09-20	3.2,3.4	local variable	src/devices/winchester/device_winchester.c	474	positioningOnly	positioning_only	2
3506fb8	2026-09-20	3.2,3.4	local variable	src/devices/winchester/device_winchester.c	838	readData	read_data	2
3506fb8	2026-09-20	3.2,3.4	local variable	src/devices/winchester/device_winchester.c	565	wordCounter	word_counter	13
5e56442	2026-09-21	3.2,3.4-3.7	parameter	src/devices/device.c	535	blockAddress	block_address	4
5e56442	2026-09-21	3.2,3.4-3.7	parameter	src/devices/device.c	59	blockSize	block_size	4
5e56442	2026-09-21	3.2,3.4-3.7	parameter	src/devices/device.c	430	coreAddress	core_address	4
5e56442	2026-09-21	3.2,3.4-3.7	parameter	src/devices/device.c	59	deviceClass	device_class	3
5e56442	2026-09-21	3.2,3.4-3.7	parameter	src/devices/device.c	521	infoFunc	info_func	2
5e56442	2026-09-21	3.2,3.4-3.7	parameter	src/devices/device.c	459	inputFunc	input_func	2
5e56442	2026-09-21	3.2,3.4-3.7	local variable	src/devices/device.c	224	newCapacity	new_capacity	3
5e56442	2026-09-21	3.2,3.4-3.7	local variable	src/devices/device.c	225	newDelays	new_delays	3
5e56442	2026-09-21	3.2,3.4-3.7	parameter	src/devices/device.c	448	outputFunc	output_func	2
5e56442	2026-09-21	3.2,3.4-3.7	parameter	src/devices/device.c	494	readFunc	read_func	2
5e56442	2026-09-21	3.2,3.4-3.7	parameter	src/devices/device.c	494	userData	user_data	8
5e56442	2026-09-21	3.2,3.4-3.7	parameter	src/devices/device.c	506	writeFunc	write_func	2
5e56442	2026-09-21	3.2,3.4-3.7	static function	src/devices/devicemanager.c	196	CreateDevice	create_device	2
5e56442	2026-09-21	3.2,3.4-3.7	static variable	src/devices/devicemanager.c	48	deviceManager	device_manager	45
5e56442	2026-09-21	3.2,3.4-3.7	static variable	src/devices/devicemanager.c	178	hdlcBaseAddr	hdlc_base_addr	2
5e56442	2026-09-21	3.2,3.4-3.7	local variable	src/devices/devicemanager.c	468	interruptBits	interrupt_bits	3
5e56442	2026-09-21	3.2,3.4-3.7	parameter	src/devices/devicemanager.c	169	isServer	is_server	2
5e56442	2026-09-21	3.2,3.4-3.7	parameter	src/devices/devicemanager.c	520	regA	reg_a	2
5e56442	2026-09-21	3.2,3.4-3.7	static variable	src/devices/devicemanager.c	152	scsiBaseAddr	scsi_base_addr	2
5e56442	2026-09-21	3.2,3.4-3.7	parameter	src/devices/devicemanager.c	146	unitTypes	unit_types	4
5e56442	2026-09-21	3.2,3.4-3.7	local variable	src/devices/devices_types.h	97	blockAddress	block_address	2
5e56442	2026-09-21	3.2,3.4-3.7	parameter	src/devices/devices_types.h	43	physicalAddress	physical_address	2
5e56442	2026-09-21	3.2,3.4-3.7	local variable	src/devices/devices_types.h	203	regA	reg_a	1
5e56442	2026-09-21	3.2,3.4-3.7	static function	src/devices/floppy/device_floppy_dma.c	42	AutoLoadEnd	auto_load_end	3
5e56442	2026-09-21	3.2,3.4-3.7	static function	src/devices/floppy/device_floppy_dma.c	117	CalculateHardwareStatusWord	calculate_hardware_status_word	3
5e56442	2026-09-21	3.2,3.4-3.7	static function	src/devices/floppy/device_floppy_dma.c	109	CalculateOrOfErrors	calculate_or_of_errors	3
5e56442	2026-09-21	3.2,3.4-3.7	static function	src/devices/floppy/device_floppy_dma.c	135	CalculateStatusWord1	calculate_status_word1	3
5e56442	2026-09-21	3.2,3.4-3.7	static function	src/devices/floppy/device_floppy_dma.c	325	DmaAutoloadErrorImage	dma_autoload_error_image	2
5e56442	2026-09-21	3.2,3.4-3.7	static function	src/devices/floppy/device_floppy_dma.c	40	ExecuteAutoload	execute_autoload	3
5e56442	2026-09-21	3.2,3.4-3.7	static function	src/devices/floppy/device_floppy_dma.c	38	ExecuteFloppyGo	execute_floppy_go	3
5e56442	2026-09-21	3.2,3.4-3.7	static function	src/devices/floppy/device_floppy_dma.c	39	ExecuteTest	execute_test	3
5e56442	2026-09-21	3.2,3.4-3.7	static function	src/devices/floppy/device_floppy_dma.c	269	FloppyDMA_Ident	floppy_dma_ident	2
5e56442	2026-09-21	3.2,3.4-3.7	static function	src/devices/floppy/device_floppy_dma.c	150	FloppyDMA_Read	floppy_dma_read	2
5e56442	2026-09-21	3.2,3.4-3.7	static function	src/devices/floppy/device_floppy_dma.c	84	FloppyDMA_Reset	floppy_dma_reset	3
5e56442	2026-09-21	3.2,3.4-3.7	static function	src/devices/floppy/device_floppy_dma.c	258	FloppyDMA_Tick	floppy_dma_tick	2
5e56442	2026-09-21	3.2,3.4-3.7	static function	src/devices/floppy/device_floppy_dma.c	188	FloppyDMA_Write	floppy_dma_write	2
5e56442	2026-09-21	3.2,3.4-3.7	static variable	src/devices/floppy/device_floppy_dma.c	301	LOAD_ERROR_IMAGE	load_error_image	4
5e56442	2026-09-21	3.2,3.4-3.7	static function	src/devices/floppy/device_floppy_dma.c	43	ReadEnd	read_end	15
5e56442	2026-09-21	3.2,3.4-3.7	static variable	src/devices/floppy/device_floppy_dma.c	310	WRONG_BOOTSTRAP_TEXT	wrong_bootstrap_text	5
5e56442	2026-09-21	3.2,3.4-3.7	static variable	src/devices/floppy/device_floppy_dma.c	409	_floppy_go_log	floppy_go_log	3
